datetime,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore
2015-01-02 15:00:00,391.0,0.0,2599.0,1298.0,195.0,1491.0,1284.0,2984.0,7105.0,44.0,57.0,3619.0,188.0,11961.0
2015-01-02 16:00:00,395.0,0.0,2996.0,1184.0,195.0,1975.0,1283.0,3104.0,7106.0,44.0,59.0,3024.0,188.0,12025.0
2015-01-02 17:00:00,394.0,0.0,3696.0,1047.0,195.0,1760.0,1295.0,3102.0,7105.0,44.0,59.0,2053.0,185.0,12077.0
2015-01-02 18:00:00,410.0,0.0,4760.0,1178.0,199.0,595.0,1324.0,3886.0,7106.0,44.0,64.0,769.0,178.0,11276.0
2015-01-02 19:00:00,435.0,0.0,6030.0,1345.0,205.0,78.0,1352.0,5553.0,7104.0,44.0,68.0,266.0,199.0,10510.0
2015-01-02 20:00:00,435.0,0.0,5973.0,1354.0,214.0,68.0,1369.0,5604.0,7106.0,44.0,69.0,165.0,203.0,10406.0
2015-01-02 21:00:00,437.0,0.0,6082.0,1348.0,215.0,68.0,1370.0,5902.0,7107.0,45.0,69.0,137.0,204.0,10445.0
2015-01-02 22:00:00,437.0,0.0,5747.0,1429.0,217.0,68.0,1365.0,5347.0,7107.0,45.0,66.0,137.0,204.0,9976.0
2015-01-02 23:00:00,443.0,0.0,4177.0,1432.0,220.0,68.0,1323.0,4969.0,7108.0,45.0,64.0,137.0,203.0,9527.0
2015-01-03 00:00:00,478.0,0.0,3801.0,1798.0,246.0,502.0,1423.0,3719.0,7096.0,78.0,76.0,62.0,201.0,9264.0
2015-01-03 01:00:00,463.0,0.0,3812.0,1351.0,245.0,1048.0,1392.0,3482.0,7095.0,78.0,68.0,62.0,198.0,9135.0
2015-01-03 02:00:00,452.0,0.0,3745.0,1258.0,244.0,1880.0,1296.0,3060.0,7096.0,79.0,66.0,61.0,201.0,9362.0
2015-01-03 03:00:00,454.0,0.0,3638.0,1196.0,244.0,2441.0,1245.0,2474.0,7098.0,79.0,68.0,61.0,208.0,9628.0
2015-01-03 04:00:00,449.0,0.0,3515.0,1138.0,202.0,2767.0,1221.0,2266.0,7097.0,78.0,67.0,61.0,201.0,9607.0
2015-01-03 05:00:00,453.0,0.0,3626.0,1180.0,189.0,2953.0,1212.0,2449.0,7098.0,79.0,66.0,61.0,188.0,9666.0
2015-01-03 06:00:00,458.0,0.0,3556.0,1246.0,188.0,2744.0,1215.0,2620.0,7099.0,77.0,68.0,61.0,187.0,9743.0
2015-01-03 07:00:00,452.0,0.0,3524.0,1175.0,190.0,2279.0,1295.0,2559.0,7098.0,77.0,67.0,63.0,186.0,9401.0
2015-01-03 08:00:00,438.0,0.0,4000.0,1249.0,190.0,2152.0,1295.0,3335.0,7097.0,77.0,66.0,233.0,186.0,8363.0
2015-01-03 09:00:00,433.0,0.0,4157.0,1415.0,226.0,1081.0,1380.0,4229.0,7097.0,76.0,68.0,820.0,197.0,7924.0
2015-01-03 10:00:00,419.0,0.0,3960.0,1597.0,249.0,341.0,1421.0,4827.0,7097.0,76.0,68.0,1665.0,205.0,7592.0
2015-01-03 11:00:00,431.0,0.0,3622.0,1569.0,250.0,325.0,1424.0,4429.0,7093.0,76.0,71.0,2488.0,202.0,7874.0
2015-01-03 12:00:00,425.0,0.0,3138.0,1379.0,247.0,409.0,1417.0,4309.0,7094.0,76.0,64.0,3218.0,202.0,8192.0
2015-01-03 13:00:00,427.0,0.0,3113.0,1193.0,249.0,1095.0,1390.0,3784.0,7095.0,76.0,64.0,3695.0,208.0,8718.0
2015-01-03 14:00:00,421.0,0.0,3114.0,1155.0,248.0,1750.0,1285.0,3709.0,7093.0,77.0,64.0,3780.0,210.0,9152.0
2015-01-03 15:00:00,410.0,0.0,2982.0,1137.0,206.0,2141.0,1277.0,3320.0,7092.0,76.0,62.0,3370.0,202.0,9382.0
2015-01-03 16:00:00,397.0,0.0,2987.0,1205.0,190.0,2175.0,1279.0,3919.0,7092.0,76.0,61.0,2692.0,200.0,9307.0
2015-01-03 17:00:00,393.0,0.0,3169.0,1289.0,190.0,1936.0,1302.0,4256.0,7095.0,77.0,59.0,1931.0,201.0,8892.0
2015-01-03 18:00:00,418.0,0.0,3221.0,1399.0,218.0,1271.0,1478.0,4812.0,7094.0,78.0,62.0,1015.0,212.0,8568.0
2015-01-03 19:00:00,458.0,0.0,3033.0,1539.0,243.0,129.0,1544.0,5753.0,7094.0,79.0,66.0,502.0,222.0,9005.0
2015-01-03 20:00:00,462.0,0.0,3136.0,1555.0,244.0,0.0,1583.0,5946.0,7096.0,81.0,67.0,355.0,221.0,9672.0
2015-01-03 21:00:00,462.0,0.0,3061.0,1507.0,245.0,0.0,1572.0,5985.0,7095.0,82.0,69.0,291.0,221.0,10081.0
2015-01-03 22:00:00,463.0,0.0,3224.0,1441.0,247.0,117.0,1546.0,5519.0,7094.0,82.0,71.0,207.0,219.0,10537.0
2015-01-03 23:00:00,456.0,0.0,3529.0,1291.0,248.0,587.0,1502.0,4505.0,7094.0,83.0,70.0,117.0,217.0,10953.0
2015-01-04 00:00:00,391.0,0.0,3981.0,2559.0,323.0,1045.0,1502.0,1991.0,7086.0,81.0,58.0,692.0,162.0,8540.0
2015-01-04 01:00:00,351.0,0.0,3997.0,2755.0,310.0,1257.0,1494.0,1867.0,7087.0,81.0,58.0,684.0,160.0,8080.0
2015-01-04 02:00:00,350.0,0.0,3787.0,2678.0,306.0,1629.0,1484.0,1414.0,7086.0,81.0,57.0,648.0,161.0,7773.0
2015-01-04 03:00:00,366.0,0.0,3724.0,2426.0,311.0,1962.0,1472.0,1355.0,7086.0,82.0,56.0,640.0,162.0,7601.0
2015-01-04 04:00:00,377.0,0.0,3578.0,2046.0,310.0,2185.0,1438.0,1431.0,7087.0,82.0,56.0,563.0,161.0,7584.0
2015-01-04 05:00:00,372.0,0.0,3676.0,2248.0,310.0,1795.0,1457.0,1534.0,7086.0,82.0,58.0,372.0,157.0,7812.0
2015-01-04 06:00:00,377.0,0.0,3702.0,2148.0,320.0,1341.0,1352.0,2284.0,7085.0,82.0,54.0,179.0,155.0,7950.0
2015-01-04 07:00:00,396.0,0.0,3569.0,2100.0,325.0,378.0,1433.0,3188.0,7086.0,82.0,56.0,129.0,156.0,8228.0
2015-01-04 08:00:00,415.0,0.0,3314.0,2143.0,359.0,0.0,1561.0,3521.0,7080.0,83.0,53.0,357.0,156.0,8341.0
2015-01-04 09:00:00,418.0,0.0,3183.0,2244.0,368.0,0.0,1573.0,4286.0,7080.0,84.0,54.0,1634.0,159.0,8569.0
2015-01-04 10:00:00,402.0,0.0,3168.0,2209.0,370.0,17.0,1451.0,3921.0,7079.0,85.0,55.0,3830.0,162.0,8433.0
2015-01-04 11:00:00,411.0,0.0,3207.0,2303.0,371.0,119.0,1519.0,4023.0,7083.0,84.0,60.0,4937.0,161.0,8001.0
2015-01-04 12:00:00,403.0,0.0,3279.0,2307.0,371.0,72.0,1533.0,3997.0,7085.0,85.0,57.0,5302.0,165.0,7520.0
2015-01-04 13:00:00,407.0,0.0,3295.0,2353.0,362.0,69.0,1591.0,3760.0,7087.0,86.0,58.0,5590.0,158.0,7274.0
2015-01-04 14:00:00,393.0,0.0,3141.0,2324.0,369.0,69.0,1529.0,3077.0,7085.0,85.0,60.0,5668.0,150.0,6878.0
2015-01-04 15:00:00,400.0,0.0,3118.0,2164.0,365.0,69.0,1495.0,2602.0,7083.0,85.0,59.0,5593.0,149.0,7517.0
2015-01-04 16:00:00,397.0,0.0,3131.0,2049.0,374.0,112.0,1459.0,2553.0,7080.0,85.0,57.0,5316.0,147.0,7999.0
2015-01-04 17:00:00,393.0,0.0,3303.0,2104.0,383.0,251.0,1435.0,2925.0,7079.0,87.0,59.0,4907.0,152.0,8181.0
2015-01-04 18:00:00,402.0,0.0,3368.0,2098.0,381.0,506.0,1435.0,3446.0,7078.0,84.0,61.0,4200.0,153.0,8260.0
2015-01-04 19:00:00,409.0,0.0,3434.0,2075.0,383.0,789.0,1458.0,4365.0,7080.0,84.0,59.0,2911.0,150.0,8156.0
2015-01-04 20:00:00,438.0,0.0,3604.0,2162.0,385.0,416.0,1538.0,5936.0,7082.0,85.0,59.0,1392.0,170.0,8347.0
2015-01-04 21:00:00,436.0,0.0,3874.0,2445.0,389.0,0.0,1616.0,5856.0,7084.0,85.0,57.0,748.0,177.0,8875.0
2015-01-04 22:00:00,424.0,0.0,3447.0,2169.0,394.0,0.0,1594.0,4684.0,7085.0,85.0,59.0,696.0,174.0,8922.0
2015-01-04 23:00:00,403.0,0.0,3390.0,1770.0,391.0,79.0,1467.0,3776.0,7088.0,84.0,59.0,672.0,166.0,8735.0
2015-01-05 00:00:00,373.0,326.0,5338.0,4247.0,352.0,650.0,1182.0,2086.0,4036.0,41.0,72.0,691.0,158.0,7351.0
2015-01-05 01:00:00,363.0,104.0,5352.0,3112.0,310.0,938.0,1099.0,2458.0,4029.0,41.0,74.0,668.0,153.0,7403.0
2015-01-05 02:00:00,359.0,0.0,4791.0,2580.0,311.0,1021.0,1076.0,2140.0,4028.0,38.0,75.0,662.0,156.0,7887.0
2015-01-05 03:00:00,346.5,0.0,4590.5,2576.5,309.5,1544.0,1029.0,2335.5,4029.0,38.0,73.0,616.0,155.5,8117.5
2015-01-05 04:00:00,334.0,0.0,4390.0,2573.0,308.0,2067.0,982.0,2531.0,4030.0,38.0,71.0,570.0,155.0,8348.0
2015-01-05 05:00:00,338.0,0.0,4108.0,2551.0,300.0,2228.0,969.0,2439.0,4031.0,38.0,72.0,428.0,153.0,8526.0
2015-01-05 06:00:00,341.0,0.0,4396.0,2351.0,291.0,2365.0,967.0,2583.0,4031.0,38.0,73.0,243.0,152.0,8518.0
2015-01-05 07:00:00,343.0,0.0,4227.0,2202.0,301.0,2321.0,1087.0,2740.0,4031.0,39.0,74.0,155.0,143.0,8263.0
2015-01-05 08:00:00,345.0,0.0,4017.0,2138.0,317.0,2071.0,1110.0,2480.0,4030.0,38.0,74.0,500.0,143.0,8326.0
2015-01-05 09:00:00,369.0,0.0,4243.0,2239.0,331.0,1465.0,1168.0,2575.0,4028.0,38.0,76.0,1333.0,140.0,8046.0
2015-01-05 10:00:00,374.0,0.0,3993.0,2545.0,337.0,1216.0,1207.0,2286.0,4011.0,37.0,74.0,2482.0,140.0,8439.0
2015-01-05 11:00:00,376.0,0.0,3900.0,2422.0,333.0,1166.0,1206.0,2209.0,3829.0,37.0,74.0,3339.0,155.0,9131.0
2015-01-05 12:00:00,375.14285714285717,0.0,3914.714285714286,2392.714285714286,333.42857142857144,1176.857142857143,1207.857142857143,2201.4285714285716,3812.285714285714,37.714285714285715,73.57142857142857,3282.5714285714284,154.0,8888.142857142857
2015-01-05 13:00:00,374.2857142857143,0.0,3929.4285714285716,2363.4285714285716,333.85714285714283,1187.7142857142858,1209.7142857142858,2193.8571428571427,3795.5714285714284,38.42857142857143,73.14285714285714,3226.1428571428573,153.0,8645.285714285714
2015-01-05 14:00:00,373.42857142857144,0.0,3944.1428571428573,2334.1428571428573,334.2857142857143,1198.5714285714287,1211.5714285714287,2186.285714285714,3778.8571428571427,39.142857142857146,72.71428571428571,3169.714285714286,152.0,8402.42857142857
2015-01-05 15:00:00,372.57142857142856,0.0,3958.8571428571427,2304.8571428571427,334.7142857142857,1209.4285714285713,1213.4285714285713,2178.714285714286,3762.1428571428573,39.857142857142854,72.28571428571429,3113.285714285714,151.0,8159.571428571428
2015-01-05 16:00:00,371.7142857142857,0.0,3973.5714285714284,2275.5714285714284,335.14285714285717,1220.2857142857142,1215.2857142857142,2171.1428571428573,3745.4285714285716,40.57142857142857,71.85714285714286,3056.8571428571427,150.0,7916.714285714286
2015-01-05 17:00:00,370.85714285714283,0.0,3988.285714285714,2246.285714285714,335.57142857142856,1231.142857142857,1217.142857142857,2163.5714285714284,3728.714285714286,41.285714285714285,71.42857142857143,3000.4285714285716,149.0,7673.857142857143
2015-01-05 18:00:00,370.0,0.0,4003.0,2217.0,336.0,1242.0,1219.0,2156.0,3712.0,42.0,71.0,2944.0,148.0,7431.0
2015-01-05 19:00:00,375.0,0.0,4181.0,2541.0,333.0,651.0,1260.0,1843.0,3743.0,42.0,75.0,1971.0,147.0,6570.0
2015-01-05 20:00:00,371.0,0.0,4607.0,2509.0,334.0,108.0,1308.0,2291.0,3773.0,43.0,73.0,958.0,153.0,5549.0
2015-01-05 21:00:00,370.0,0.0,5329.0,2804.0,326.0,0.0,1328.0,3732.0,3803.0,42.0,74.0,605.0,161.0,4979.0
2015-01-05 22:00:00,362.0,0.0,5682.0,2891.0,334.0,45.0,1328.0,3613.0,3834.0,43.0,75.0,518.0,161.0,4822.0
2015-01-05 23:00:00,370.0,0.0,5699.0,2958.0,328.0,193.0,1318.0,3044.0,3868.0,45.0,72.0,394.0,158.0,4982.0
2015-01-06 00:00:00,535.0,851.0,4359.0,5130.0,257.0,99.0,767.0,1218.0,4826.0,85.0,66.0,626.0,212.0,4052.0
2015-01-06 01:00:00,532.0,742.0,4502.0,4990.0,258.0,693.0,737.0,1620.0,4828.0,85.0,63.0,624.0,208.0,3832.0
2015-01-06 02:00:00,530.0,829.0,4393.0,5207.0,266.0,1000.0,728.0,1862.0,4830.0,86.0,63.0,616.0,204.0,3398.0
2015-01-06 03:00:00,532.0,784.0,4386.0,5418.0,262.0,1053.0,727.0,1834.0,4846.0,85.0,65.0,582.0,206.0,3003.0
2015-01-06 04:00:00,541.0,802.0,4453.0,5497.0,266.0,1052.0,727.0,1758.0,4895.0,85.0,66.0,576.0,206.0,2569.0
2015-01-06 05:00:00,545.0,856.0,4589.0,5753.0,263.0,1016.0,720.0,1793.0,4903.0,85.0,64.0,499.0,204.0,2380.0
2015-01-06 06:00:00,540.0,904.0,4818.0,6154.0,257.0,323.0,720.0,1435.0,4911.0,85.0,63.0,415.0,202.0,2196.0
2015-01-06 07:00:00,546.0,937.0,4862.0,6527.0,283.0,17.0,779.0,2369.0,4924.0,85.0,63.0,412.0,184.0,1701.0
2015-01-06 08:00:00,546.0,959.0,5143.0,6774.0,343.0,0.0,842.0,3860.0,4930.0,86.0,63.0,1168.0,196.0,1102.0
2015-01-06 09:00:00,544.0,980.0,4842.0,6973.0,368.0,0.0,852.0,4119.0,4942.0,83.0,64.0,3018.0,262.0,682.0
2015-01-06 10:00:00,543.0,978.0,4604.0,7101.0,361.0,0.0,895.0,4449.0,4952.0,87.0,64.0,4129.0,268.0,470.0
2015-01-06 11:00:00,539.0,977.0,4475.0,7198.0,351.0,0.0,899.0,4584.0,4950.0,87.0,63.0,4642.0,260.0,472.0
2015-01-06 12:00:00,547.0,974.0,4376.0,7215.0,349.0,0.0,898.0,4579.0,4956.0,84.0,62.0,4976.0,259.0,683.0
2015-01-06 13:00:00,538.0,969.0,4512.0,7210.0,356.0,0.0,901.0,4335.0,4959.0,86.0,61.0,5044.0,260.0,1041.0
2015-01-06 14:00:00,534.0,962.0,4178.0,7159.0,365.0,0.0,857.0,4167.0,4953.0,85.0,68.0,4887.0,258.0,1652.0
2015-01-06 15:00:00,537.0,965.0,4035.0,7067.0,366.0,0.0,813.0,3084.0,4956.0,86.0,69.0,4641.0,254.0,2761.0
2015-01-06 16:00:00,537.0,887.0,3821.0,6830.0,364.0,95.0,825.0,3290.0,4955.0,88.0,66.0,4279.0,251.0,3277.0
2015-01-06 17:00:00,532.0,947.0,4059.0,6873.0,362.0,5.0,823.0,3454.0,4799.0,88.0,69.0,3824.0,252.0,3281.0
2015-01-06 18:00:00,533.0,976.0,4472.0,7100.0,356.0,0.0,820.0,3349.0,4186.0,88.0,69.0,3132.0,267.0,3781.0
2015-01-06 19:00:00,528.0,967.0,4553.0,7172.0,351.0,0.0,806.0,3119.0,4368.0,87.0,69.0,2383.0,254.0,3943.0
2015-01-06 20:00:00,536.0,968.0,4490.0,7194.0,365.0,0.0,836.0,3009.0,4657.0,87.0,71.0,1586.0,229.0,4028.0
2015-01-06 21:00:00,535.0,980.0,4664.0,7264.0,364.0,0.0,937.0,3921.0,4878.0,87.0,70.0,891.0,230.0,3661.0
2015-01-06 22:00:00,531.0,970.0,4684.0,7279.0,360.0,0.0,884.0,3834.0,4961.0,87.0,72.0,696.0,231.0,3485.0
2015-01-06 23:00:00,528.0,922.0,4728.0,7227.0,352.0,0.0,863.0,2778.0,4959.0,86.0,72.0,669.0,232.0,3276.0
2015-01-07 00:00:00,499.0,885.0,4659.0,7996.0,371.0,0.0,728.0,1982.0,6000.0,89.0,55.0,1280.0,219.0,6210.0
2015-01-07 01:00:00,502.0,909.0,4199.0,7838.0,370.0,137.0,704.0,1483.0,5995.0,87.0,55.0,1253.0,213.0,5993.0
2015-01-07 02:00:00,491.0,905.0,4448.0,8048.0,368.0,482.0,704.0,1003.0,5997.0,87.0,55.0,1231.0,217.0,5529.0
2015-01-07 03:00:00,495.0,875.0,4157.0,7837.0,360.0,747.0,692.0,626.0,5998.0,87.0,56.0,1223.0,220.0,5127.0
2015-01-07 04:00:00,503.0,912.0,4001.0,7827.0,360.0,845.0,689.0,563.0,6003.0,87.0,55.0,1189.0,219.0,4940.0
2015-01-07 05:00:00,505.0,918.0,4219.0,7910.0,360.0,700.0,687.0,610.0,6005.0,88.0,57.0,1142.0,220.0,4735.0
2015-01-07 06:00:00,506.0,930.0,4338.0,7856.0,364.0,209.0,706.0,1363.0,6003.0,87.0,54.0,1043.0,220.0,4266.0
2015-01-07 07:00:00,505.0,938.0,4954.0,7855.0,374.0,0.0,761.0,2280.0,6000.0,87.0,55.0,979.0,217.0,3849.0
2015-01-07 08:00:00,510.0,960.0,5447.0,7982.0,378.0,0.0,780.0,3192.0,5997.0,87.0,55.0,1336.0,219.0,3369.0
2015-01-07 09:00:00,501.0,960.0,5881.0,7991.0,381.0,0.0,788.0,4420.0,5996.0,84.0,54.0,2121.0,220.0,2959.0
2015-01-07 10:00:00,494.0,955.0,6076.0,7979.0,364.0,0.0,753.0,3674.0,5989.0,88.0,51.0,2841.0,220.0,3226.0
2015-01-07 11:00:00,498.0,937.0,5726.0,7982.0,367.0,0.0,754.0,3289.0,5974.0,88.0,51.0,3556.0,219.0,4273.0
2015-01-07 12:00:00,491.0,958.0,5583.0,8005.0,362.0,0.0,762.0,3131.0,5971.0,89.0,52.0,3756.0,214.0,5914.0
2015-01-07 13:00:00,495.0,936.0,5637.0,7975.0,367.0,0.0,751.0,2709.0,5969.0,88.0,50.0,3639.0,215.0,7320.0
2015-01-07 14:00:00,501.0,940.0,5684.0,7839.0,369.0,0.0,733.0,1912.0,5964.0,87.0,53.0,4133.0,215.0,7837.0
2015-01-07 15:00:00,498.0,925.0,6098.0,7782.0,367.0,0.0,721.0,1479.0,5961.0,86.0,51.0,4896.0,214.0,7890.0
2015-01-07 16:00:00,491.0,957.0,6242.0,7807.0,367.0,0.0,713.0,1191.0,5956.0,86.0,52.0,4647.0,217.0,7996.0
2015-01-07 17:00:00,495.0,954.0,6056.0,7866.0,368.0,0.0,709.0,1458.0,5969.0,84.0,52.0,4184.0,217.0,7955.0
2015-01-07 18:00:00,497.0,879.0,5839.0,8058.0,364.0,0.0,707.0,1965.0,5978.0,84.0,52.0,3631.0,215.0,7582.0
2015-01-07 19:00:00,483.0,914.0,6477.0,8129.0,371.0,0.0,711.0,2384.0,5986.0,85.0,51.0,2772.0,215.0,6821.0
2015-01-07 20:00:00,482.0,968.0,6316.0,8163.0,354.0,0.0,736.0,2566.0,5981.0,86.0,52.0,2013.0,222.0,6198.0
2015-01-07 21:00:00,481.0,902.0,5881.0,8002.0,386.0,0.0,735.0,2622.0,5985.0,86.0,53.0,1193.0,226.0,6139.0
2015-01-07 22:00:00,481.0,915.0,5785.0,7853.0,384.0,6.0,721.0,2412.0,5984.0,87.0,52.0,636.0,220.0,6398.0
2015-01-07 23:00:00,479.0,841.0,5519.0,7601.0,381.0,137.0,677.0,1414.0,5987.0,87.0,52.0,573.0,215.0,6262.0
2015-01-08 00:00:00,546.0,571.0,4178.0,7280.0,383.0,398.0,658.0,831.0,6741.0,84.0,67.0,433.0,260.0,5908.0
2015-01-08 01:00:00,516.0,566.0,3912.0,6774.0,370.0,392.0,628.0,942.0,6741.0,85.0,67.0,391.0,257.0,5509.0
2015-01-08 02:00:00,508.0,455.0,3718.0,6349.0,372.0,956.0,631.0,882.0,6742.0,85.0,67.0,352.0,256.0,5204.0
2015-01-08 03:00:00,509.0,369.0,3768.0,6078.0,373.0,1088.0,634.0,934.0,6743.0,86.0,65.0,328.0,251.0,4891.0
2015-01-08 04:00:00,518.0,367.0,3707.0,5984.0,373.0,1027.0,636.0,799.0,6744.0,86.0,67.0,327.0,251.0,4738.0
2015-01-08 05:00:00,528.0,351.0,3706.0,5817.0,361.0,1348.0,631.0,781.0,6748.0,86.0,66.0,320.0,249.0,4868.0
2015-01-08 06:00:00,533.0,367.0,3946.0,5785.0,354.0,1804.0,631.0,943.0,6750.0,86.0,67.0,265.0,246.0,4809.0
2015-01-08 07:00:00,525.0,360.0,3890.0,5570.0,347.0,1638.0,629.0,888.0,6748.0,86.0,66.0,223.0,246.0,4849.0
2015-01-08 08:00:00,529.0,457.0,4066.0,6289.0,332.0,508.0,641.0,1147.0,6747.0,86.0,69.0,708.0,216.0,4285.0
2015-01-08 09:00:00,534.0,576.0,4535.0,6720.0,305.0,198.0,652.0,965.0,6749.0,85.0,66.0,2225.0,214.0,3889.0
